Provinsi,2019,2020,2021
ACEH,125.3,126,126.5
SUMATERA UTARA,95.4,95.5,95.7
SUMATERA BARAT,26.7,25.2,24.4
RIAU,5.1,4.2,4.2
JAMBI,29.4,30.7,30.7
SUMATERA SELATAN,250.2,250.2,251.5
BENGKULU,88,85.5,85.3
LAMPUNG,157,156.9,156.4
KEP. BANGKA BELITUNG,0.1,0.1,0.2
KEP. RIAU,0,0,0
DKI JAKARTA,0,0,0
JAWA BARAT,45.5,48.4,50.6
JAWA TENGAH,46.6,47.2,49.4
DI YOGYAKARTA,1.7,1.7,1.7
JAWA TIMUR,91.8,90,91
BANTEN,6.2,6,6.2
BALI,34.7,34.8,34.1
NUSA TENGGARA BARAT,12.8,13.1,14.3
NUSA TENGGARA TIMUR,71.1,71.1,80.7
KALIMANTAN BARAT,11.8,11.6,11.9
KALIMANTAN TENGAH,2.4,2.5,2.6
KALIMANTAN SELATAN,2.9,3,2.9
KALIMANTAN TIMUR,2.5,1.2,2
KALIMANTAN UTARA,1.5,1.5,1
SULAWESI UTARA,7.6,7.9,8
SULAWESI TENGAH,9.7,9.9,10.3
SULAWESI SELATAN,79.5,78.5,76.7
SULAWESI TENGGARA,8.5,8.5,8.6
GORONTALO,1.5,1.5,1.4
SULAWESI BARAT,15.8,15.9,16.2
MALUKU,1.2,1.3,1.3
MALUKU UTARA,0.4,0.4,0.4
PAPUA BARAT,0,0,0.2
PAPUA,12.3,12.5,12.4
INDONESIA,1245.2,1242.8,1258.8
