Provinsi,2019,2020,2021
ACEH,72.7,73.4,74.2
SUMATERA UTARA,74.9,75,76.8
SUMATERA BARAT,15.3,12.3,12.8
RIAU,2.6,2.4,2.4
JAMBI,16.4,18.7,20.2
SUMATERA SELATAN,191,191.2,201.4
BENGKULU,62.6,62.7,62.4
LAMPUNG,117.1,118.1,118
KEP. BANGKA BELITUNG,0,0,0
KEP. RIAU,0,0,0
DKI JAKARTA,0,0,0
JAWA BARAT,21,22.4,23.1
JAWA TENGAH,24.7,24.9,27.5
DI YOGYAKARTA,0.5,0.5,0.5
JAWA TIMUR,49.2,48.5,46.6
BANTEN,2.6,2.2,2
BALI,15.3,15.3,15.6
NUSA TENGGARA BARAT,5.4,5.9,7.5
NUSA TENGGARA TIMUR,24.1,24.2,25.9
KALIMANTAN BARAT,3.8,3.7,3.2
KALIMANTAN TENGAH,0.4,0.4,0.3
KALIMANTAN SELATAN,1.3,1.3,1.1
KALIMANTAN TIMUR,0.2,0.2,0.3
KALIMANTAN UTARA,0.2,0.2,0.1
SULAWESI UTARA,3.7,3.7,3.7
SULAWESI TENGAH,2.6,2.6,3
SULAWESI SELATAN,34.7,33.7,35.3
SULAWESI TENGGARA,2.8,2.8,2.8
GORONTALO,0.1,0.1,0.1
SULAWESI BARAT,4.1,4.3,4.7
MALUKU,0.4,0.4,0.4
MALUKU UTARA,0,0,0
PAPUA BARAT,0,0,0
PAPUA,2.8,2.8,2.7
INDONESIA,752.5,753.9,774.6
